Local time,Open,High,Low,Close,Volume
30.10.2018 08:05:00.000 GMT+0530,76.975,77.075,76.975,77.035,0.0045
30.10.2018 08:10:00.000 GMT+0530,77.031,77.055,77.000,77.035,0.0024000000000000002
30.10.2018 08:15:00.000 GMT+0530,77.040,77.060,77.015,77.041,0.0019
30.10.2018 08:20:00.000 GMT+0530,77.045,77.054,76.990,76.995,0.0014
30.10.2018 08:25:00.000 GMT+0530,76.985,77.011,76.969,77.001,0.0018
30.10.2018 08:30:00.000 GMT+0530,77.020,77.040,76.965,76.975,0.0022
30.10.2018 08:35:00.000 GMT+0530,76.976,77.041,76.975,77.010,0.0027
30.10.2018 08:40:00.000 GMT+0530,77.005,77.031,76.994,77.030,0.0013
30.10.2018 08:45:00.000 GMT+0530,77.024,77.055,77.000,77.000,0.003
30.10.2018 08:50:00.000 GMT+0530,76.995,77.036,76.991,77.015,0.002
30.10.2018 08:55:00.000 GMT+0530,77.011,77.011,76.965,76.975,0.001
30.10.2018 09:00:00.000 GMT+0530,76.971,77.015,76.960,76.980,0.0015999999999999999
30.10.2018 09:05:00.000 GMT+0530,76.995,77.016,76.986,77.000,0.0018
30.10.2018 09:10:00.000 GMT+0530,76.989,77.035,76.985,77.030,0.0013999999999999998
30.10.2018 09:15:00.000 GMT+0530,77.030,77.041,77.020,77.030,0.0008000000000000001
30.10.2018 09:20:00.000 GMT+0530,77.035,77.060,77.030,77.060,0.0012
30.10.2018 09:25:00.000 GMT+0530,77.054,77.100,77.049,77.055,0.0018
30.10.2018 09:30:00.000 GMT+0530,77.051,77.075,77.004,77.006,0.0019000000000000002
30.10.2018 09:35:00.000 GMT+0530,77.020,77.040,77.004,77.011,0.003
30.10.2018 09:40:00.000 GMT+0530,77.005,77.025,76.994,77.021,0.002
30.10.2018 09:45:00.000 GMT+0530,77.009,77.035,77.009,77.035,0.0010999999999999998
30.10.2018 09:50:00.000 GMT+0530,77.029,77.030,77.014,77.020,0.0015000000000000002
30.10.2018 09:55:00.000 GMT+0530,77.015,77.091,77.015,77.076,0.0025
30.10.2018 10:00:00.000 GMT+0530,77.060,77.160,77.060,77.140,0.003
30.10.2018 10:05:00.000 GMT+0530,77.136,77.146,77.105,77.130,0.0012
30.10.2018 10:10:00.000 GMT+0530,77.115,77.140,77.109,77.120,0.0008
30.10.2018 10:15:00.000 GMT+0530,77.114,77.125,77.100,77.100,0.0011
30.10.2018 10:20:00.000 GMT+0530,77.090,77.125,77.065,77.120,0.0019
30.10.2018 10:25:00.000 GMT+0530,77.110,77.121,77.095,77.110,0.0013000000000000002
30.10.2018 10:30:00.000 GMT+0530,77.115,77.171,77.095,77.161,0.0024000000000000002
30.10.2018 10:35:00.000 GMT+0530,77.165,77.196,77.140,77.155,0.0017
30.10.2018 10:40:00.000 GMT+0530,77.161,77.165,77.124,77.136,0.0023
30.10.2018 10:45:00.000 GMT+0530,77.150,77.160,77.106,77.114,0.0011
30.10.2018 10:50:00.000 GMT+0530,77.110,77.115,77.100,77.104,0.0007000000000000001
30.10.2018 10:55:00.000 GMT+0530,77.111,77.160,77.109,77.121,0.0015999999999999999
30.10.2018 11:00:00.000 GMT+0530,77.136,77.180,77.130,77.130,0.0011
30.10.2018 11:05:00.000 GMT+0530,77.135,77.171,77.114,77.121,0.0015
30.10.2018 11:10:00.000 GMT+0530,77.114,77.125,77.065,77.115,0.0024
30.10.2018 11:15:00.000 GMT+0530,77.111,77.170,77.111,77.145,0.0026
30.10.2018 11:20:00.000 GMT+0530,77.141,77.141,77.075,77.101,0.0022
30.10.2018 11:25:00.000 GMT+0530,77.091,77.091,77.040,77.080,0.0019000000000000002
30.10.2018 11:30:00.000 GMT+0530,77.084,77.110,77.044,77.100,0.0039
30.10.2018 11:35:00.000 GMT+0530,77.095,77.131,77.091,77.125,0.0021999999999999997
30.10.2018 11:40:00.000 GMT+0530,77.131,77.175,77.100,77.175,0.0021999999999999997
30.10.2018 11:45:00.000 GMT+0530,77.180,77.226,77.175,77.225,0.0022999999999999995
30.10.2018 11:50:00.000 GMT+0530,77.230,77.236,77.219,77.219,0.0007
30.10.2018 11:55:00.000 GMT+0530,77.220,77.231,77.204,77.209,0.0016
30.10.2018 12:00:00.000 GMT+0530,77.215,77.236,77.160,77.190,0.0029999999999999996
30.10.2018 12:05:00.000 GMT+0530,77.180,77.180,77.134,77.170,0.0026
30.10.2018 12:10:00.000 GMT+0530,77.175,77.180,77.140,77.176,0.0031999999999999997
30.10.2018 12:15:00.000 GMT+0530,77.175,77.240,77.165,77.195,0.0035
30.10.2018 12:20:00.000 GMT+0530,77.191,77.290,77.190,77.281,0.0048
30.10.2018 12:25:00.000 GMT+0530,77.280,77.291,77.235,77.261,0.0038
30.10.2018 12:30:00.000 GMT+0530,77.255,77.285,77.225,77.280,0.0034999999999999996
30.10.2018 12:35:00.000 GMT+0530,77.285,77.285,77.205,77.210,0.0042
30.10.2018 12:40:00.000 GMT+0530,77.216,77.239,77.179,77.200,0.0057
30.10.2018 12:45:00.000 GMT+0530,77.195,77.210,77.160,77.170,0.0032999999999999995
30.10.2018 12:50:00.000 GMT+0530,77.165,77.170,77.091,77.106,0.0038
30.10.2018 12:55:00.000 GMT+0530,77.095,77.146,77.041,77.120,0.0033
30.10.2018 13:00:00.000 GMT+0530,77.140,77.175,77.061,77.076,0.0043
30.10.2018 13:05:00.000 GMT+0530,77.085,77.085,76.989,77.014,0.011
30.10.2018 13:10:00.000 GMT+0530,77.004,77.034,76.934,76.964,0.0127
30.10.2018 13:15:00.000 GMT+0530,76.964,77.030,76.964,76.994,0.0046
30.10.2018 13:20:00.000 GMT+0530,76.994,77.005,76.949,76.971,0.009199999999999998
